Card ID,Card Name,Card URL,Card Description,Labels,Members,Due Date,Attachment Count,Attachment Links,Checklist Item Total Count,Checklist Item Completed Count,Vote Count,Comment Count,Last Activity Date,List ID,List Name,Board ID,Board Name,Archived,Start Date,Due Complete,Due Reminder
69277062c2d83849d3e48850,Page Load & Layout UI,https://trello.com/c/7lz8H71C/11-page-load-layout-ui,,,,,1,https://trello.com/1/cards/69277062c2d83849d3e48850/attachments/69278a080f932a4830078f33/download/valet_parking.png,4,4,0,0,2025-11-26T23:15:49.093Z,680567727d394f3b4ce70590,ui testing,680563c14e8838e8318bcf09,valet parking application,false,,false,
6927707beba81e467f4d26df,Dropdown UI Validation,https://trello.com/c/ya0iJkX0/12-dropdown-ui-validation,,,,,1,https://trello.com/1/cards/6927707beba81e467f4d26df/attachments/69278a431aeeef14a58e52e9/download/valet_parking.png,5,5,0,0,2025-11-26T23:16:56.623Z,680567727d394f3b4ce70590,ui testing,680563c14e8838e8318bcf09,valet parking application,false,,false,
69277099211c0b69c53a3e4f,Date Input Fields,https://trello.com/c/j1k1Cdg8/13-date-input-fields,,,,,1,https://trello.com/1/cards/69277099211c0b69c53a3e4f/attachments/69278aa7b9fbf0e0e0ba32e6/download/valet_parking.png,5,5,0,0,2025-11-26T23:18:40.640Z,680567727d394f3b4ce70590,ui testing,680563c14e8838e8318bcf09,valet parking application,false,,false,
692770bbcbeed7ad92435b18,Time Input Fields,https://trello.com/c/EEvgxEaV/14-time-input-fields,,,,,1,https://trello.com/1/cards/692770bbcbeed7ad92435b18/attachments/69278af91c832d210927335e/download/valet_parking.png,5,5,0,0,2025-11-26T23:20:09.141Z,680567727d394f3b4ce70590,ui testing,680563c14e8838e8318bcf09,valet parking application,false,,false,
692770d2e4f060e0e55bcfd0,Calculate Button UI,https://trello.com/c/W1HNCQJd/15-calculate-button-ui,,,,,1,https://trello.com/1/cards/692770d2e4f060e0e55bcfd0/attachments/69278b52d276d78a17af1201/download/valet_parking.png,3,3,0,0,2025-11-26T23:21:32.233Z,680567727d394f3b4ce70590,ui testing,680563c14e8838e8318bcf09,valet parking application,false,,false,
692770f675173082673f87de,Output Section (Cost Display),https://trello.com/c/eTqgz6Sd/16-output-section-cost-display,,,,,1,https://trello.com/1/cards/692770f675173082673f87de/attachments/69278b984b667a3544f019c5/download/valet_parking.png,4,4,0,0,2025-11-26T23:22:34.025Z,680567727d394f3b4ce70590,ui testing,680563c14e8838e8318bcf09,valet parking application,false,,false,
6927711b7596b7ba8ed3c245,Error Messages & Validation UI,https://trello.com/c/5ksJ0Qfs/17-error-messages-validation-ui,,,,,1,https://trello.com/1/cards/6927711b7596b7ba8ed3c245/attachments/69278bcd9b2fd2e8dbef9ca5/download/valet_parking.png,4,4,0,0,2025-11-26T23:23:20.337Z,680567727d394f3b4ce70590,ui testing,680563c14e8838e8318bcf09,valet parking application,false,,false,
69277144a910fd34408bbeff,Responsive UI Testing,https://trello.com/c/WpQni2P7/18-responsive-ui-testing,,,,,1,https://trello.com/1/cards/69277144a910fd34408bbeff/attachments/69278bfa6c92a0674005810d/download/valet_parking.png,4,4,0,0,2025-11-26T23:24:20.059Z,680567727d394f3b4ce70590,ui testing,680563c14e8838e8318bcf09,valet parking application,false,,false,
69274e5898573f32f7da3851,valet parking,https://trello.com/c/rS5pM0Dx/6-valet-parking,,,,,1,https://trello.com/1/cards/69274e5898573f32f7da3851/attachments/692f420d8a786a6f3f7166f4/download/valet_parking.png,3,3,0,0,2025-12-02T19:46:25.869Z,6805676be1fc4d6e85b399a9,valid test cases,680563c14e8838e8318bcf09,valet parking application,false,,false,
69274e6b6df3421a516a7939,short-term parking,https://trello.com/c/5BURnFZd/7-short-term-parking,,,,,1,https://trello.com/1/cards/69274e6b6df3421a516a7939/attachments/69278caa4883ce33612e9694/download/valet_parking.png,3,3,0,0,2025-12-01T17:47:29.299Z,6805676be1fc4d6e85b399a9,valid test cases,680563c14e8838e8318bcf09,valet parking application,false,,false,
